Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Emotion
2919,Why don’t we do a trial run.,Supervisor,neutral,308,2,7,13,"00:04:25,014","00:04:28,141",neutral
12609,Y’know I don’t understand why they didn’t cry. It was a beautiful speech.,Ross,negative,163,0,8,18,"00:21:14,261","00:21:18,014",sadness
12880,Could've been a peach.,Chandler,neutral,188,6,1,4,"00:07:08,428","00:07:11,138",neutral
359,Uh-huh. But it was a first for the rest of my building.,Ross,neutral,34,7,5,23,"00:14:48,386","00:14:49,386",neutral
4813,This will be your phone.,Stage Director,neutral,514,1,5,4,"00:07:24,777","00:07:26,403",neutral
11433,Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,Monica,negative,36,1,1,24,"00:17:58,202","00:18:05,249",anger
10999,What?,Rachel,neutral,102,1,1,2,"0:13:42,477","0:13:43,955",neutral
12417,I can't do it.,Joey,negative,140,13,5,10,"00:06:24,008","00:06:27,719",sadness
9469,You're you.,Chandler,neutral,990,9,1,13,"0:13:45,075","0:13:46,719",neutral
5326,All I had to do was pay $25 and wait in line for three hours.,Monica,negative,564,9,4,15,"00:13:44,406","00:13:47,200",sadness
7734,"No, he visited a little town south of throw up.  So what was Phoebe’s secret?",Chandler,neutral,819,15,7,4,"00:06:46,447","00:06:54,413",neutral
1458,Oh Phoebe!,Rachel,positive,156,9,8,2,"0:14:29,785","0:14:30,427",joy
1355,"Well, you may wanna rethink the dirty underwear.",Chandler,negative,147,7,1,5,"00:07:37,790","00:07:41,126",disgust
9129,Bob?,Phoebe,negative,953,10,9,12,"0:08:39,101","0:08:39,663",fear
1078,"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",Sarah,negative,116,7,3,10,"00:05:08,516","00:05:17,232",sadness
9343,Oh.,Rachel,neutral,977,1,3,12,"0:20:55,640","0:20:57,439",neutral
7439,Okay! I’ll go with ya! I’ll go! I’ll go with ya.,Rachel,positive,791,19,8,12,"00:03:05,268","00:03:06,768",joy
13500,You know it?,Chandler,negative,257,1,2,6,"00:11:34,610","00:11:35,860",surprise
2989,"Wow, Monica! What an amazing opportunity to influence… dozens of people.",Monica,positive,315,3,4,9,"00:01:47,774","00:01:54,321",joy
7827,"Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds.",Woman,negative,828,4,1,5,"00:10:55,655","00:11:01,368",anger
5249,Oh uh…I actually came here to ask you out.,Katie,negative,557,4,8,21,"00:10:26,668","00:10:31,340",fear
10112,Yeah!,Phoebe,neutral,12,1,7,24,"0:11:58,179","0:12:00,071",neutral
1988,So you're a chef?,Mischa,neutral,207,12,3,15,"00:15:25,925","00:15:28,343",neutral
4217,"Well, this is my sickness!",Monica,negative,451,7,9,23,"00:44:29,375","00:44:31,668",anger
2814,All right.,Monica,neutral,297,9,4,20,"00:09:12,802","00:09:13,969",neutral
10005,"Thank you, Joey.",Chandler,neutral,1,14,4,4,"0:13:29,391","0:13:30,483",neutral
961,"He's good with rear things, bring him in too.",Dr. Rhodes,neutral,102,2,3,23,"00:06:08,284","00:06:10,619",neutral
4752,"Hmm, noodle soup.",The Casting Director,neutral,508,13,5,18,"0:17:00,859","0:17:02,736",neutral
1791,I believe it.,Rachel,neutral,188,0,4,2,"00:09:35,324","00:09:36,992",neutral
4829,Oh I’m sorry! Do you need a break?,Chandler,negative,516,2,8,10,"0:17:13,741","0:17:13,884",surprise
7960,"Honey, we were at this beautiful place, and I-I-I just put our names down for fun!",Monica,negative,841,4,6,22,"00:20:08,415","00:20:13,711",anger
7134,So you owe me three pretty things.,Monica,neutral,756,3,3,13,"0:11:48,721","0:11:50,764",neutral
10935,That would be no.,Ross,negative,94,2,2,2,"00:13:21,717","00:13:23,551",disgust
6764,"Uh, Phoebe we've been getting complaints and uh, we're gonna move you to a less high-profile spot.",Bob,neutral,707,15,5,10,"00:17:04,982","00:17:10,194",neutral
4131,This is unacceptable Rachel!,Dr. Green,negative,445,15,8,8,"0:08:48,945","0:08:50,697",anger
3969,"What do you want from me, I’ve never met the guy.",Chandler,positive,428,7,4,14,"00:21:44,594","00:21:47,054",surprise
318,"Oh well, it’s not on TV yet.",Joey,neutral,31,0,6,22,"00:04:32,563","00:04:35,774",neutral
2663,That’s weird!,Joey,negative,281,8,7,22,"00:08:24,212","00:08:25,253",disgust
6345,"No, you're the best.",Chandler,neutral,663,6,5,17,"0:14:26,908","0:14:27,140",neutral
5343,"Okay, so now do you believe that she's attracted to me?",Chandler,neutral,568,7,5,14,"00:09:29,902","00:09:32,404",neutral
146,"Ross, can I talk to you for a minute?",Charlie,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",neutral
7851,This is the first time in my life I’m doing something that I’m actually good at.,Rachel,negative,831,1,3,15,"00:12:12,314","00:12:15,442",anger
1811,Ross you left you scarf in… Hey you guys.,Janice,neutral,189,15,5,12,"00:10:11,861","00:10:22,454",neutral
3270,"Get in there man! Flirt back, mix it up!",Monica,positive,344,6,5,17,"00:02:32,402","00:02:35,654",joy
7739,"I’m sorry, do I know you?",Joey,neutral,820,1,7,19,"00:00:08,842","00:00:11,260",neutral
9351,"Honey, I love you too.",Ross,neutral,977,9,3,12,"0:21:34,522","0:21:35,844",neutral
4760,Y'know what? We need to move on.,The Casting Director,negative,508,21,5,18,"00:17:39,725","00:17:42,018",anger
5280,Oh my god.,Monica,negative,561,3,1,5,"0:18:06,126","0:18:06,968",surprise
4555,This sucks!,Joey,negative,486,10,6,4,"00:06:42,902","00:06:44,653",anger
9162,Are you close with them?,Danny,neutral,956,7,5,10,"0:18:11,465","0:18:12,857",neutral
7567,: What are you doing?,Mr. Treeger,neutral,804,1,4,4,"00:01:04,022","00:01:05,015",neutral
1367,"Ok, ok, How about if we split it?",Joey,neutral,148,7,1,12,"00:07:55,308","00:07:57,100",neutral
4034,Why would you serve food on such a sharp stick?,Mr. Geller,negative,435,4,8,18,"0:05:20,017","0:05:23,635",surprise
11094,What? Oh my God! I’m gonna miss you so much!,Rachel,negative,113,10,6,2,"00:19:33,213","00:19:35,965",sadness
10576,"Listen also we’re uh, we’re watching the game here Saturday night, if people want to come over.",Joey,neutral,58,10,4,13,"00:05:39,589","00:05:42,674",neutral
528,Okay?,Joey,neutral,50,12,6,21,"0:14:36,714","0:14:37,872",neutral
2629,"That's, that's great!",Phoebe,positive,278,2,7,10,"00:07:52,388","00:07:54,306",joy
7930,"Look, I’m talking right now! You’re—you mean her.",Phoebe,positive,839,4,6,14,"00:16:43,585","00:16:47,755",joy
7177,"Wow. Oh, I am really flattered, but I just I don’t feel that way about you.",Dana,positive,760,3,6,18,"00:14:24,321","00:14:33,204",surprise
